Имя пользователя,Ссылка,Время,Текст,Хэштеги
Александр Иванов,@alexandr_iv_rb,25 мар. 2020 г.,"#Коронавирус и противоречивая политика противодействия пандемии несовместимы. Как можно призывать европейскую молодежь к немыслимому с точки зрения защиты прав человека карантину, одновременно неустанно повторяя во всех СМИ, что новый вирус якобы безвреден для молодых и здоровых.",#коронавирус
Суть Времени ☭2,@kurginyanRU,25 мар. 2020 г.,"НЕ ТАК СТРАШЕН КОРОНАВИРУС, КАК ЕГО ПОСЛЕДСТВИЯ ДЛЯ МИРА. СРАВНИМ РЕАЛЬНЫЕ ДАННЫЕ?",
КОРОНАВИРУС НОВОСТИ,@CoronavirusUKR,25 мар. 2020 г.," Министр здравоохранения Великобритании объявил о планах привлечь 250 000 волонтеров, чтобы помочь стране справиться с вспышкой короновируса. ",
Ivan Stupak,@Ivan_S2pak,25 мар. 2020 г.,Интересно!,
Gunslinger,@D_Tretyakov,25 мар. 2020 г.,"Сэр Эрик #Клэптон объявил о #перенос европейского тура с 2020 на 2021 год. Это значит, что в июле мы его в Крокусе не увидим. В масштабах кризиса в связи с #коронавирус переживать по этому поводу - фигня и мелочность. Но я расстроился - ждал его. #КоронавирусПротивХорошейМузыки",#коронавирус
Историческая память - Наталия Мельяновская,@3UGcfyudxQJ1Gmh,25 мар. 2020 г.,Путин оценил работу врачей больницы в Коммунарке,
CONTRA STUPIDUS,@contra_stupidus,25 мар. 2020 г.,"...демократических реформ и обязательств может способствовать постепенной отмене санкций по мере прогресса в этих вопросах, прекращение эпидемии COVID-19 является общим приоритетом и предполагает возможные поставки лекарств и медицинского оборудования. 2",
ZdravMedInfo,@ZdravMedInfo,25 мар. 2020 г.,Eli Lilly отложила проведение новых клинических исследований из-за COVID-19 http://zdravmedinfo.com/pharmnews.html?article=135782… #новости #фармация,
Адм. Щербинка,@Adm_Scherbinka,25 мар. 2020 г.,Актуальная информация о коронавирусе доступна на сайте мэра,
Олег Ответов,@OtvetovTwit,25 мар. 2020 г.,Хай-Тек:  Instagram избавился от фейков о распространении COVID-19 в РФ,
Steffen Seibert,@RegSprecherStS,25 мар. 2020 г.,Канцлер #Меркель о решениях кабинета министров в связи с #коронавирус|ом #Covid19,#covid #covid19 #коронавирус
sololaki,@sololaki1,25 мар. 2020 г.,#Новости | На Прикарпатье сообщили о третьей жертве COVID-19 https://sololaki.ru/novosti-ukrainy/novosti-na-prikarpate-soobschili-o-tretey-zhertve-covid-19.html…,
Сергей Поздняков,@AtletSport_ru,25 мар. 2020 г.,Дуракам Коронавирус не страшен | 20 симптомов заболевания COVID-19 | Придурки в зале      ,
Edward,@edvard1331,25 мар. 2020 г.,В ответ ,
Jenkers News (RUS),@jenkers_ru,25 мар. 2020 г.,Голкипер Аталанты заразился #коронавирус'ом http://jenke.rs/y2SHp5,#коронавирус
Мир 24,@Mir24TV,25 мар. 2020 г.,В Италии штраф за нарушение карантина увеличился в 10 раз. Теперь он составляет от 400 до трех тысяч евро,
Пробка в Лосево,@losevoprobka,25 мар. 2020 г.,"Властям мы не верим, новостям тоже, твиттору и подавно. Будем устанавливать масштаб пандемии дедовским способом.",
КОРОНАВИРУС НОВОСТИ,@CoronavirusUKR,25 мар. 2020 г., ВАЖНО ,
EL ESPEJO CRÍTICO,@elespejocritico,25 мар. 2020 г.,#Covid-19 ,#covid #covid-19
Техподдержка RU,@linuxesrf,25 мар. 2020 г.,Прогноз коронавируса или когда кончится эпидемия COVID-19 https://tehpodderzka.ru/2020/03/covid-19-prognoz.html…,
psyfond,@psyfond,25 мар. 2020 г.,Рак и коронавирус. В чем их сходство?,
Mark Bobrovsky,@bobmark_42,25 мар. 2020 г.,Можно ли гулять во время карантина и ждать ли улучшений ситуации с COVID-19 летом. Интервью с авторитетным вирусологом https://nv.ua/ukraine/events/karantin-po-koronavirusu-2020-chto-mozhno-po-mneniyu-eksperta-novosti-ukrainy-50077580.html…,
Random,@RMKPZ,25 мар. 2020 г.,Хорошковский в больнице с подозрением на коронавирус – источники  #КОРОНАВИРУС #ВАЛЕРИЯ #БОЛЬНИЦА https://oi5.ru/n348963345,#коронавирус
KORONAVIRUS ODESSA,@Korona_news2022,25 мар. 2020 г.,"Мы уверены, что задолго до истечения этого срока мы можем вернуться к нашему образу жизни», - заявил Конте.  ",
britneyspears.com.ua,@britneyspearsua,25 мар. 2020 г.,БРИТНИ добавила пост про время изоляции и заново опубликовала пост о своем тату на запястье - 23 Марта 2020 ,
MovieNews Film,@MovieNewsFilm,25 мар. 2020 г.,"Оскароносный кинопродюсер Харви Вайнштейн, ныне один из самых известных заключенных Нью-йоркской городской тюрьмы, после приговора за сексуальное насилие и срок в 23 года, получил еще одно потрясение — положительный результат на коронавирус COVID-19.",
Газета Век,@wek_ru,25 мар. 2020 г.,Вспышка коронавируса в США: Тюрьмы освобождают заключенных,
ООН,@UnitedNationsRU,25 мар. 2020 г.,"Курильщики более уязвимы к коронавирусу, поскольку их пальцы с сигаретой находятся в постоянном контакте с губами, что может облегчить заражение. Кроме того, у курящих уже могут быть не здоровые легкие, что повышает угрозу развития серьезного заболевания, связанного с COVID-19",
ZdravMedInfo,@ZdravMedInfo,25 мар. 2020 г.,AbbVie отказалась от патентных прав на препарат «Калетра» на фоне распространения COVID-19 http://zdravmedinfo.com/pharmnews.html?article=135758… #новости #фармация,
алиментарно ватсон,@cairparavel19,25 мар. 2020 г.,В ответ ,
ATinform: новости,@atinform,25 мар. 2020 г.,ВОЗ о COVID-19 в Италии: Есть проблеск надежды #воз #covid_19 #италия,#covid
Виталий Зepoß,@VitGot,25 мар. 2020 г.,"Продолжаем наблюдать, что творит #коронавирус. #вирус. #coronavirus. #virus. #график. #динамика. #googledatastudio. #COVID-19",#covid #covid-19 #коронавирус
IRNA НА РУССКОМ,@irnarussian,25 мар. 2020 г.,,
Fact-Checker,@fctchckKZ,25 мар. 2020 г.,Фейк |COVID-19-ға қарсы вакцина жасалды https://factcheck.kz/kaz/glavnoe-en/fejk-covid-19-ga-karsy-vakcina-zhasaldy/…,
Телеканал 360°,@360tv,25 мар. 2020 г., Эксклюзив 360° ,
Djokhar Dudaev,@DjokharDudaev,25 мар. 2020 г.,"Академик Кадыров который на прошлой неделе заявлял, что в Чечне нет #коронавирус ",#коронавирус
Газета Век,@wek_ru,25 мар. 2020 г.,Covid-19: Французский парламент одобрил введение законопроекта о чрезвычайном санитарном положении,
МИД России,@MID_RF,25 мар. 2020 г.,,
Jenkers News (RUS),@jenkers_ru,25 мар. 2020 г.,Трое заразившихся COVID-19 выявлены на авианосце ВМС США «Теодор #Рузвельт» http://jenke.rs/s0YEd6,
MIGnews,@mignewsfeed,25 мар. 2020 г.,Кризис COVID-19: Иран не примет иностранную помощь:,
Morty,@Moriturys,25 мар. 2020 г.,"Если вы хотели купить The Long Dark, сейчас самое время. Игра продается со скидкой в 60% и все полученные средства Hinterland переведут в фонд помощи ВОЗ в борьбе с COVID-19.",
Веселка Пенкова,@CpnOPoJVL2Emfpt,25 мар. 2020 г.,Швеция с неочаквани мерки заради COVID-19 https://veselka89.news7.eu/182398,
Хуевая Попасная,@hu_popa,25 мар. 2020 г.,"Среди личного состава авианосца ВМС США «Теодор Рузвельт» выявлены случаи заражения вирусом COVID-19, сообщил и.о. министра ВМС Томас Модли.",
Алексей,@_Denver79,25 мар. 2020 г.,"Люди, выбравшие Алексея Гончаренко.",
V.Schneider,@VSchneider1,25 мар. 2020 г.,"Россияне, ВЫ пока сопли жевали, - за Вас уже Гопник ПУ и его сосунья Эллочка проголосовали... https://neuezeiten.livejournal.com/9177396.html?utm_source=twsharing&utm_medium=social… #ДураТерешкова #эскалация #свергнутьворапутина #всепротивубийцыпутина #эрдоган #упадокРоссии #коронавирус #сечинвор",#коронавирус
Андрей Килочек,@sevline2,25 мар. 2020 г.,"Перенос летней Олимпиады на следующий год из-за пандемии COVID-19 станет серьезной проблемой не только для Японии, как страны-хозяйки Игр, но ... ",
Pan Maxim,@panmaximm,25 мар. 2020 г.,"Вот интересно, я один читаю вместо Covid-19 Сочи-20?",
Mongolia in Canada,@MongoliaCanada,25 мар. 2020 г.,"2020/3/24-ны 16:00 цагт COVID-19 өвчний дэгдэлт Канадад Бритиш Колумби 472, Алберта 301,",
Первый регион,@ua01com,25 мар. 2020 г.,В Крыму зафиксировано 6 новых случаев коронавируса https://firstregion.ru/news/susplstvo/88409-v-krymu-zafiksirovano-6-novyh-sluchaev-koronavirusa.html…,
Служба новостей ООН,@UN_News_RU,25 мар. 2020 г.,"В знак солидарности с жителями Италии, которая сражается c эпидемией #COVID19, ",#covid #covid19
Интерфакс,@interfax_news,25 мар. 2020 г.,Франция перешла порог в 1 тыс. смертей от COVID-19 http://amp.gs/0RFM,
Газета Век,@wek_ru,25 мар. 2020 г.,Частные больницы в Англии помогут в лечении нового коронавируса,
RTVI US,@RTVi,25 мар. 2020 г.,"По официальным данным, в Китае выздоровели уже больше 90% заболевших COVID-19, а власти страны заявили о прекращении карантина в провинции Хубэй. Корреспондент RTVI Сергей Морозов разобрался, как в КНР боролись с коронавирусом и следили за пациентами",
V.Schneider,@VSchneider1,25 мар. 2020 г.,"Памфилова: бюллетени мы решили раздавать на улице, паспорт српрашивать не будем, чтобы повысить... https://kremlin-pu.livejournal.com/6738859.html?utm_source=twsharing&utm_medium=social… #эскалация #всепротивубийцыпутина #эрдоган #ДураТерешкова #коронавирус #упадокРоссии #свергнутьворапутина #сечинвор",#коронавирус
Кавказский Узел,@caucasianknot,25 мар. 2020 г.,"#Новоевблоге: Cегодня приехал на три часа в #Баку из дачи в Новханы. Впервые автотрасса Сумгайыт-Баку без пробок, проехал на 4-й передаче. ",
Сергей Пуговичников,@sergey8110,25 мар. 2020 г.,"Обращаюсь ко всем моим читателям: Сейчас нелёгкий период в нашей стране и в мире в связи с эпидемией коронавируса COVID-19, когда-то она пойдёт она на спад, сейчас максимально будьте дома,выходите на улицу по необходимости, гуляйте на улице где нет людей, или с теми ,кто не болен",
Степан Вишневский,@vericossa,25 мар. 2020 г.,Из-за COVID-19 все заведения должны установить отметки социальной дистанции – Шмыгаль http://dlvr.it/RSTyQW,
Интерфакс-Украина,@interfaxua,25 мар. 2020 г.,"""Киевстар"" предложил предоставить Минцифры неперсонифицированные данные для выявления потенциальных очагов распространения коронавируса",
alice novikova,@elf_ox,25 мар. 2020 г.,В ответ ,
Кирсан Илюмжинов,@Kirsan__,25 мар. 2020 г.,"Кирсан Илюмжинов: «Мир сходит с ума от страха перед COVID-19, но это не повод терять человеческий облик»",
Алексей,@_Denver79,25 мар. 2020 г.,На главного эпидемиолога Ставрополья завели уголовное дело https://colonelcassad.livejournal.com/5732260.html?utm_source=twsharing&utm_medium=social… #право #медицина #Россия #коронавирус,#коронавирус
Портал АНТИКОР,@antikorua,25 мар. 2020 г.,Заразились от умершей: в Ивано-Франковске две медсестры заболели COVID-19 • Портал АНТИКОР https://antikor.com.ua/articles/367633-zarazilisj_ot_umershej_v_ivano-frankovske_dve_medsestry_zaboleli_covid-19…,
#ГрафКалиостро,@Liwen2012,25 мар. 2020 г.,"Люди не скучайте #коронавирус пройдёт, а #юмор останется. #улыбнись #Россия",#коронавирус
Николай,@nfilon66,25 мар. 2020 г.,Коронавирус – фейк. Дебилы победили https://kungurov.livejournal.com/262016.html?utm_source=twsharing&utm_medium=social… #паника #массоваяпсихология #коронавирус #пиздец #эволюция #экономика,#коронавирус
separatist,@separatist_86,25 мар. 2020 г.,И еще видео крестного хода из Армавира.  ,
Газета Век,@wek_ru,25 мар. 2020 г.,Ставрополь: за распространение COVID-19 врачу грозит тюрьма,
sololaki,@sololaki1,25 мар. 2020 г.,#Новости | Разработавших тест на COVID-19 украинских ученых отправили в отпуск https://sololaki.ru/novosti-ukrainy/novosti-razrabotavshih-test-na-covid-19-ukrainskih-uchenyh-otpravili-v-otpusk.html…,
Новости Беларуси,@belnovosti2020,25 мар. 2020 г.,Минздрав во вторник воздержался от публикации новых данных о зараженных COVID-19 в Беларуси и поправившихся от нового коронавируса.,
Шарий.net,@sharijnet,25 мар. 2020 г.,В ВОЗ озвучили два главных симптома заражения COVID-19,
Владимир Груздев,@GruzdevVladimir,25 мар. 2020 г.,"Уже 400 тыс. человек по всему миру заразились COVID-19, более 100 тыс. из них выздоровели, 17,5 тыс. — умерли. На первом месте по числу жертв остается Италия",
ники,@zU5P5wwYvyx3jvY,25 мар. 2020 г.,COVID-19: Неочаквана ваканция https://youtu.be/QWGfjp8cjgI via ,
Ирина,@Famagmbtintinna,25 мар. 2020 г.,"Один из исследуемых методов лечения COVID-19 включает использование выздоравливающей плазмы, собранной у выздоровевших пациентов с COVID-19. Вполне возможно, что выздоравливающая плазма, содержащая антитела к SARS-CoV-2, может быть эффективной против инфекции.",
TANK T-34,@DeepSeaCaptain,25 мар. 2020 г.,"Два главных симптома помогут гражданам определить у них возможное наличие коронавируса. Речь идет о высокой температуре и сухом кашле на фоне сильно осложненного дыхания. При этом насморк редко встречается при COVID-19 и не должен вызывать тревогу, отметила представитель ВОЗ",
Регион online,@newsrru,25 мар. 2020 г.,Коронавирус в Орле: ребенок прилетевшей из Праги пары с COVID-19 не заразился,
Маклер Израиль,@makler_israel,25 мар. 2020 г.,Карантин проходит по плану - мясом закупились,
Газета Век,@wek_ru,25 мар. 2020 г.,"«Симптомы появляются разные, в разное время»: ответы Комаровского по COVID-19",
Cобытия дня в России,@smnewsru,25 мар. 2020 г.,#Гройсман признал отсутствие у Украины плана по борьбе с коронавирусом,
ТОП Новости в режиме онлайн,@topnovosti_icu,25 мар. 2020 г.,В Швейцарии отметили рост вредоносного спама из-за пандемии COVID-19,
Новости дня AOinform,@aoinform,25 мар. 2020 г.,"В Испании коронавирус активней, чем в Италии - СМИ #испания #коронавирус #италия https://aoinform.com/news/v_ispanii_koronavirus_aktivnej_chem_v_italii_smi/2020-03-24-36292…",#коронавирус
виктор петров,@Petrov1947,25 мар. 2020 г.,Статистика по коронавирусу за последние сутки. https://zergulio.livejournal.com/6796161.html?utm_source=twsharing&utm_medium=social… #коронавирус,#коронавирус
Razumei.Ru,@razumeiru,25 мар. 2020 г.,Методичка: как стать лидером по распространению COVID-19. ,
78 | НОВОСТИ,@good78news,25 мар. 2020 г.,"У зараженного COVID-19 петербуржца Петра Тюшкевича, чемпиона мира 2009 года по кайтсёрфингу, началась вирусная пневмония.",
МассажРу,@MassageRu,25 мар. 2020 г.,COVID-19 – открытое письмо массажистам по всему миру : https://massage.ru/articles/covid-19-otkrytoe-pismo-massazhistam-po-vsemu-miru…,
Preacher Cinema,@hostess_c,25 мар. 2020 г.,В ответ ,
Приют Прокрастинации,@Art0bstrel,25 мар. 2020 г.,"А что, если пандемия началась из-за айкоса ",
че за баба,@murrrw,25 мар. 2020 г.,Короче я 2 день сижу на карантине и я включила телевизор впервые за несколько лет #коронавирус #карантин,#коронавирус
Новости Воронежа - novostivoronezha.ru,@novostivrn,25 мар. 2020 г.,Облздрав сообщил о жалобах и температуре у пациентов с подтвержденным коронавирусом в Воронежской области,
ANADOLU AGENCY (RU),@aa_russian,25 мар. 2020 г.,"Глава Минздрава Турции: За последние сутки в Турции выявлено 343 новых инфицирования Covid-19, скончались 7 заболевших",
V.Schneider,@VSchneider1,25 мар. 2020 г.,"Действительно, сколько можно этого бардака? Поставьте на Манежной площади конного путина верхом на.. https://neuezeiten.livejournal.com/9186221.html?utm_source=twsharing&utm_medium=social… #нефть #эскалация #эрдоган #ДураТерешкова #упадокРоссии #коронавирус #свергнутьворапутина #всепротивубийцыпутина #сечинвор",#коронавирус
капрал_Очевидность,@Pogovorim3,25 мар. 2020 г.,Годная статья.-А может всё так и есть?91% вообще не заметят?И весь вопрос в изоляции стариков? #коронавирус,#коронавирус
AS74,@AS7404542949,25 мар. 2020 г.,В ответ ,
novostey.com,@novosteycom,25 мар. 2020 г.,Prozorro просит Кабмин упростить проведение закупок для противодействия COVID-19 http://novostey.com/business/news897736.html… #ua,
AMSRUS,@amsrus,25 мар. 2020 г.,AMSRUS: #Lamborghini достигла рекордных бизнес-показателей в 2019 году ,
lawyersocialne1,@lawyersocialne1,25 мар. 2020 г.,#жкх #жку #коммуналка #услуги #коронавирус ,#коронавирус
John White,@johnwhite_oc,25 мар. 2020 г.,"Если вы погибли от Covid-19 (sars что то там), то знайте, что даже ваша смерть made in china",
Мир 24,@Mir24TV,25 мар. 2020 г.,"Экоактивистка Грета Тунберг предположила, что заболела коронавирусом. Девушка рассказала, что она и ее отец заметили типичные симптомы #COVID2019 ",#covid
Pekвием по РФ #FreeNavalny #НЕТВОЙНЕ,@RuFailedState,25 мар. 2020 г.,"Ирландия и Эквадор зарегистрировали на своей территории более 1000 случаев COVID-19. Таким образом, уже 27 стран являются ""тысячниками"". А Швейцария сегодня может стать ""десятитысячником"". На данный момент,в этом клубе 7 стран(Китай, Италия, Испания, США, Франция, Иран, Германия)",
Свежая финская пресса,@finnishpress,25 мар. 2020 г.,Южная Карелия подсчитывает убытки от коронавируса https://zen.yandex.ru/media/finnish/poteri-iugovostochnoi-finliandii-bez-russkih-turistov--v-cifrah-5e7a566f88917a40cf32859b… #коронавирус #пандемия #финляндия #лаппеэнранта #иматра #шопинг #туризм #путешествия #граница #санкции #торговля #экономика #россия #finnishpress,#коронавирус #пандемия
Финансовое обозрение,@finoboz,25 мар. 2020 г.,"Украинцы поддерживают инициативу почасовой оплаты медикам, которые борются с распространением COVID-19 - Минздрав - https://finoboz.net/economics/ukraincy-podderzhivayut-iniciativu-pochasovoj-oplaty-medikam-kotorye-boryutsya-s-rasprostraneniem-covid-19-minzdrav/… #финансы #Украина #бизнес",
Infoliepaja redakcija@infoliepaja.lv,@IRedakcija,25 мар. 2020 г.,Карта: появились новые пункты приема анализов на COVID-19 в регионах:,
Fin4u.ru Новости,@fin4uru,25 мар. 2020 г.,"Президент США больше боится экономической рецессии в США, чем COVID-19 #политика #трамп http://fin4u.ru/23306.html",
Москва 24,@infomoscow24,25 мар. 2020 г.,,
Соколов Сергей,@FreeRussianMan,25 мар. 2020 г.,В ответ ,
マハリンスキリョニャ,@Maharinsky,25 мар. 2020 г.,В ответ ,
Sova.info,@sovanews63,25 мар. 2020 г.,О важном: последние данные о коронавирусе в Самарской области ,
UfacityNews.ru,@UfacityNews,25 мар. 2020 г.,В России выявлено 57 новых случаев заражения COVID-19,
RuNews24.ru Новости,@runews24ru,25 мар. 2020 г.,"Грета Тунберг: Подозреваю, что я заразилась коронавирусом",
Alla,@OfeliyaDD,25 мар. 2020 г.,Медикам! Исследовательская плазма для выздоровления COVID-19. Все об этом. Только что вышло.,
Валентин Илларионови,@valentinpustov2,25 мар. 2020 г.,"COVID-19 – развенчание мифов: Италия - злого умысла может и не было, но ... https://youtu.be/F88ewlmEDlU с помощью ",
"Панорамы 360, Виртуальный 3Д тур",@chebrg2006,25 мар. 2020 г.,«Милосердие» против коронавируса,
puteshestvyiru,@puteshestvyiru1,25 мар. 2020 г.,"Соединенные штаты Америки СЕГОДНЯ, НЬЮ-ЙОРК, МАРТ 2020... Карантин... Так пусто здесь не было НИКОГДА... Всё про США на нашем сайте - https://puteshestvyi.ru/ssha/ ВСТУПАЙ в нашу ГРУППУ!!!! ",
Выбор Народа,@Vybor_naroda,25 мар. 2020 г.,Мэр Нью-Йорка призвал мобилизовать армию для борьбы с COVID-19,
Владимир Тучковский,@Tuchkovskij,25 мар. 2020 г.,"Вирус COVID-19 не возник в Китайском Ухане, а был завезен из военной лаборатории США в Форт-Детрик, только в этой стране есть все ветви эволюционного древа коронавирусов— пишет Лэрри Романофф из Global Research со ссылкой на исследования японских и тайваньских эпидемиологов.",
TJ,@tjournal,25 мар. 2020 г.,"Главные новости о коронавирусе за 24 марта: что закрыли и перенесли, сколько людей заразились Covid-19 и каковы последствия вируса",
4buttonZ.ru | Switch | PS4 | X1 | PC,@4buttonz_ru,25 мар. 2020 г.,Сервис NVIDIA GeForce Now стал бесплатным на месяц,
Сергей Олюха,@oluxa333,25 мар. 2020 г.,Начальник военного госпиталя продал тесты по COVID-19 в аптеки Северодонецка | Донбасс Сегодня,
TemirlanKZ,@TSeitbekov,25 мар. 2020 г.,"Мировая экономическая обстановка куда более будет масштабной проблемой после Covid-19, для всего мира, не говоря о нашей стране.",
V.Schneider,@VSchneider1,25 мар. 2020 г.,"В Москве, людям старше 65 лет, окажут материальную помощь в размере 4 тыс руб. Спасибо Собянин,... https://neuezeiten.livejournal.com/9186447.html?utm_source=twsharing&utm_medium=social… #нефть #эскалация #эрдоган #ДураТерешкова #упадокРоссии #коронавирус #свергнутьворапутина #всепротивубийцыпутина #сечинвор",#коронавирус
Первый регион,@ua01com,25 мар. 2020 г.,За сутки 57 человек заболело коронавирусом в России https://firstregion.ru/news/susplstvo/88410-za-sutki-57-chelovek-zabolelo-koronavirusom-v-rossii.html…,
Капитал Страны,@kapital_strany,25 мар. 2020 г.,Главврач Коммунарки рассказал Путину о вариантах распространения COVID-19,
Ридус,@RidusNews,25 мар. 2020 г.,Число инфицированных COVID-19 во всем мире превысило 400 тысяч человек,
Medialeaks,@MedialeaksRu,25 мар. 2020 г.,"Парень оригинально подкатил к девушке с помощью коронавируса. Нет, он не заболел и не лёг с ней в одну палату - ему помогли шутки о COVID-19. А дама, судя по всему, осталась под впечатлением.",
V.Schneider,@VSchneider1,25 мар. 2020 г.,"«Если людей пугать достаточно сильно и достаточно долго, они пойдут за любым,кто пообещает спасение» https://neuezeiten.livejournal.com/9186754.html?utm_source=twsharing&utm_medium=social… #нефть #эскалация #эрдоган #ДураТерешкова #упадокРоссии #коронавирус #свергнутьворапутина #всепротивубийцыпутина #сечинвор",#коронавирус
Soyuz.Ru,@soyuz_ru,25 мар. 2020 г.,"Дэвид Харбор намекнул, когда выйдет 4 сезон сериала «Очень странные дела». Джим Хоппер говорит, что из-за коронавируса ждать придется дольше, чем планировалось.",
арон норон,@EyXkDmSBw3Fleuj,25 мар. 2020 г.,В ответ ,
Мара Мирова,@galkova_tam,25 мар. 2020 г.,В ответ ,
виктор петров,@Petrov1947,25 мар. 2020 г.,Новые симптомы коронавируса https://textinthepiter.livejournal.com/116034.html?utm_source=twsharing&utm_medium=social… #коронавирус #общество,#коронавирус
chernigov.org,@ChernigovOrg,25 мар. 2020 г.,Эпидемия COVID-19: Красный Крест отправит на Донбасс 16 грузовиков продуктами и средствами гигиены https://chernigov.org/proisshestvija/jepidemija-covid-19-krasnyj-krest-otpravit-na-donbass-16-gruzovikov-produktami-i-sredstvami-gigieny/…,
DJ Eva Fiesta,@DJ_Eva_Fiesta,25 мар. 2020 г.,"Пенсионеры, говорите?",
RusNext РусскаяВесна,@rusnextru,25 мар. 2020 г.,"В МИД РФ разъяснили, что в ситуации с вывозом россиян и украинцев речь идет исключительно о помощи людям, которые сами хотят вернуться на родину в условиях пандемии коронавируса. #Коронавирус #Россия #РусскаяВесна #RusNext",#коронавирус
Все на сайт,@vsenasite,25 мар. 2020 г.," Число погибших от коронавирусной инфекции в Италии за сутки увеличилось на 743, до 6820, сообщили власти.",
Tukhbat,@tukhbat,25 мар. 2020 г.,А какие меры борьбы и способы профилактики с COVID-19 у вас в компании ?,
Флегонтов Александр,@flegontov19591,25 мар. 2020 г.,Коронавирус COVID-19: главные события 24 марта,
ГЛАВК,@glavkinfo,25 мар. 2020 г.,Льва Лещенко и его жену госпитализировали с подозрением на COVID-19 • ГЛАВК – последние новости со ... https://glavk.net/articles/109209-ljva_leshchenko_i_ego_zhenu_gospitalizirovali_s_podozreniem_na_covid-19…,
кошачий дурдом,@vasilkova_ann,25 мар. 2020 г.,#карантин в самом разгаре. ,
Colourmanic,@Colourmanic,25 мар. 2020 г.,#EzRepost sokolovagallery with ,
novostey.com,@novosteycom,25 мар. 2020 г.,В #Kievской области зарегистрировано еще 10 случаев заболевания COVID-19 http://novostey.com/society/news897721.html… #ua,
novostey.com,@novosteycom,25 мар. 2020 г.,Bing начал поддерживать новую разметку Schema для сообщений на тему COVID-19 http://novostey.com/internet/news897726.html… #ua,
novostey.com,@novosteycom,25 мар. 2020 г.,В Броварах 21-летнюю девушку госпитализировали с болезнью COVID-19 http://novostey.com/society/news897718.html… #ua,
scalper432,@scalper432,25 мар. 2020 г.,"закрывать длинные позиции на покупку в долларах иены. понизить ставку до уровня стоп-лосс ниже 110,59",
detsad29_khimki,@detsad29_khimki,25 мар. 2020 г.,Об основных принципах карантина в домашних условиях,
The Reading Rööm,@okreadingroom,25 мар. 2020 г.,Главврач больницы в Коммунарке призвал готовиться к итальянскому сценарию с COVID-19,
KORONAVIRUS ODESSA,@Korona_news2022,25 мар. 2020 г.,Рубеж в 400 тысяч выявленных случаев заражения взят. Каждые новые 100 тысяч достигаются быстрее предыдущих.  ,
Golosinfo: новости,@golosinfocom,25 мар. 2020 г.,Быстрый тест четыре раза не увидел COVID-19 у зараженного из Тернополя #быстрый_тест #covid_19 #тернополь,#covid
Ракурс.UA,@RacursUa,25 мар. 2020 г.,"Коронавирус: в Ирпене госпитализировали беременную, на Прикарпатье умерла женщина с симптомами COVID-19",
78 | НОВОСТИ,@good78news,25 мар. 2020 г.,Уже 90% петербургских студентов перешли на дистанционное обучение: https://78.ru/news/2020-03-24/uzhe_90_peterburgskih_studentov_pereshli_na_distancionnoe_obuchenie…,
Random,@RMKPZ,25 мар. 2020 г.,Правительство РФ через коронавирус спецпотягом вывезет из Украины россиян и отправит в Украину украинцев  #КОРОНАВИРУС #РОССИЯ #УКРАИНА https://oi5.ru/n348930497,#коронавирус
МИА Казинформ,@kazinformkz,25 мар. 2020 г.,COVID-19: Эпидемиологическая ситуация в Шымкенте,
VRK News,@NewsVrk,25 мар. 2020 г.,"Видео!! Тесты, одобренные ВОЗ, будут использоваться по эпидемиологическим показателям #COVID19 #coronavirus #2019nCoV #коронавирус #Казахстан #Kazakhstan #kaz #BreakingNews #news #новости #врачи #минздрав #биртанов #Біргеміз! https://vrk.news/1500-20200324-184444…",#covid #covid19 #коронавирус
Мое Кратово,@moekratovo,25 мар. 2020 г., Поручено проверить готовность аэропорта Жуковский к приему рейсов из стран с большим числом случаев COVID-19.,
Satadnar,@DAargon,25 мар. 2020 г.,И вот снова мы идем идем и приходим в Fortnite. А это значит что мы будем снова тупить и сливатся по полной на Арене в соло.,
Random,@RMKPZ,25 мар. 2020 г.,Билл Гейтс больше озабочен коронавирусом в бедных странах  #ГЕЙТС #БИЛЛ #КОРОНАВИРУС https://oi5.ru/n348907950,#коронавирус
BoichenkoSergey,@Sergulion,25 мар. 2020 г.,В ответ ,
Random,@RMKPZ,25 мар. 2020 г.,Тесты на COVID-19 поехали в регионы Украины – видео  #ТЕСТ,
ann ⁷,@florence_94,25 мар. 2020 г.,"ору с того как я годы скрывала свою тру страницу вк от коллег, в итоге стало насрано и многие ща у меня в друзьях",
Коммерсантъ,@kommersant,25 мар. 2020 г.,"«Настало время солидарности, а не изоляции»",
Кавказский Узел,@caucasianknot,25 мар. 2020 г.,"#Новоевблоге: Обращение Руслана Муцольгова к Чайке и Калиматову по политзаключенным, из-за угрозы вируса.",
Edward,@edvard1331,25 мар. 2020 г.,Оказывается Белавиа ещё и в должниках перед Россией ,
Новости в медицине,@bOl87jVeBt0spGR,25 мар. 2020 г.,Пандемия COVID-19. 4 причины надеяться на ее окончание https://mymedik.pro/pandemiya-covid-19-4-prichiny-nadeyatsya-na-ee-okonchanie/…,
Александр Иванов,@alexandr_iv_rb,25 мар. 2020 г.,"#Коронавирус и легкомысленный оптимизм несовместимы. Как только звучат заявления об улучшении ситуации в мире в целом и в Италии в частности, пандемия сразу же доказывает обратное. Человечество сейчас платит за ошибки своих неразумных и продажных правителей и за открытые границы.",#коронавирус
Андрей Одесский,@andriiodesskiy,25 мар. 2020 г.,В ответ ,
