Имя пользователя,Ссылка,Время,Текст,Хэштеги
Мир 24,@Mir24TV,21 апр. 2020 г.,"Владимир #Семашко: Потерявшие работу из-за пандемии в посольство не обращались. Чрезвычайный и полномочный посол Беларуси в России рассказал, кто может рассчитывать на помощь дипломатов в период пандемии.",
HBR Россия,@HBR_Russia,21 апр. 2020 г.,"Как американские врачи борются с Covid-19? Рассказывает реаниматолог нью-йоркской больницы Эльмхерст, расположенной в «эпицентре внутри эпицентра» эпидемии",
Nurgali Zhalel,@nurgalizhalel,21 апр. 2020 г.,"Даже не нужно быть Вангой, чтобы предсказать что это лето для Казахстана будет очень тяжёлым, во всех смыслах! ",
RusVeles,@RusVeles1,21 апр. 2020 г.,Последствия Covid-19 для России и мира. В.Катасонов. (ВИДЕО) » Москва - Третий Рим https://3rm.info/main/79834-posledstvija-covid-19-dlja-rossii-i-mira-vkatasonov-video.html…,
Радыё Свабода,@svaboda,21 апр. 2020 г.,Паказваем у 3D: што каранавірус робіць зь лёгкімі  ,
Мир 24,@Mir24TV,21 апр. 2020 г.,"#Путин заявил, что Россия полностью обеспечивает себя антсептиками. В ходе совещания по санитарно-эпидемиологической обстановке в стране он сообщил, что задачи первого этапа борьбы с эпидемией в России «в целом удается решать». ",
Sergy,@SPodopryhora,21 апр. 2020 г.,В ответ ,
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Путин призвал медиков подготовить алгоритм действий при борьбе с COVID-19 http://zdravmedinfo.com/mednews.html?article=140887…  #новости #медицина,
Сайт Компромат,@ws_compromat,21 апр. 2020 г.,"В России число пациентов с COVID-19 превысило 32 тысячи человек, в мире насчитывается 2,15 миллиона случаев заражений -",
Saint,@Saint666ip,21 апр. 2020 г.,Турция вводит комендантский час из-за угрозы COVID-19 - http://saint-666.ru/?p=382540,
Правда-ТВ.ru,@PACCBET,21 апр. 2020 г.,Где и сколько заболевших коронавирусной инфекцией в России  на сегодня 21 апреля 2020 года – распространение COVID-19 удалось замедлить?,
Новости МГУ,@msunewsru,21 апр. 2020 г.,"Сложнее всего придется первокурсникам, которые при обучении в дистанционном формате будут лишены возможности личного контакта с одногруппниками и преподавателями. #msunews #MSU #МГУ #коронавирус #онлайобучение",#коронавирус
Dark MAGA,@Rus_American,21 апр. 2020 г.,Число переболевших COVID-19 в округе Лос Анжелеса может быть в 28-55 раз больше. ,
coronavirus-m.ru,@ru_coronavirus,21 апр. 2020 г.,Роспотребнадзор рекомендовал ограничить число находящихся в помещении работников для борьбы с распространением коронавирусной инфекции COVID-19. Читать далее,
coronavirus-m.ru,@ru_coronavirus,21 апр. 2020 г.,В Минобороны сообщили о заражении курсантов Военно-медицинской академии в Санкт-Петербурге коронавирусной инфекцией COVID-19.,
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Эксперт рассказал о тестах препаратов профилактики COVID-19 у медиков http://zdravmedinfo.com/mednews.html?article=140914…,
Зеркальная Сталь,@euromaidannn,21 апр. 2020 г.,В ответ ,
InterMax,@IntermaxFun,21 апр. 2020 г.,Меркель заявила об угрозе второй волны COVID-19 после ослабления карантина https://intermax.fun/merkel-zayavila-ob-ugroze-vtoroj-volny-covid-19-posle-oslableniya-karantina/…,
Городской Телеканал,@gortelekanal,21 апр. 2020 г.,Число заражённых COVID-19 в Ярославской области увеличилось  http://gtk.tv/news/95863.ns,
Голос Америки,@GolosAmeriki,21 апр. 2020 г.,"Вирус есть, а слова нет: больше позитива, реклама «открывательных» практик и отказ от слова «заболели». Как российские чиновники предлагают освещать пандемию?  https://youtu.be/ZoV0uOeOOHk #коронавирус #covid19 #Россия",#covid #covid19 #коронавирус
яландыш,@arkz997,21 апр. 2020 г.,"ох уж этот горячий свободо-любивый кавказ , пздц ,",
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Эксперт: Россия первой начнет использовать новые методы лечения COVID-19 http://zdravmedinfo.com/mednews.html?article=140906…  #новости #медицина,
ФЕЙГИН LIVE,@FeyginMark4,21 апр. 2020 г.,"«Педерастическая обезьяна» после нашего эфира с Андреем Андреевичем с «уханьской версией» происхождения COVID-19, решил подмахнуть нашей гипотезе https://ok.ru/video/1469961931455…",
Новости Азербайджана,@oxuazru,21 апр. 2020 г.,В Чили будут выдавать удостоверения переболевшим COVID-19 - https://ru.oxu.az/world/382027 #Azərbaycan #Азербайджан #Новости #oxuaz #НовостиАзербайджана,
лео,@Beralex_,21 апр. 2020 г.,"В Мексике остановили производство пива Corona, а в Малайзии остановили производство крупнейшей компании презервативов, covid-19 ты что сука?",
Сайт Компромат,@ws_compromat,21 апр. 2020 г.,"Почему вакцину от COVID-19 в срочном порядке начали испытывать на людях, а не на животных -",
Регион online,@newsrru,21 апр. 2020 г.,Количество умерших с COVID-19 в Москве увеличилось до 233 человек,
я пан(к) мне похуй,@V_Nadpisyah,21 апр. 2020 г.,"Кто-то на карантине создаёт безумные гибриды живых организмов, которые, возможно, восстанут на руинах цивилизации наряду с тирексами из куриных яиц",
ЕВРОНОВОСТИ ИЗ МИНСКА,@europatv_news,21 апр. 2020 г.,"ЕВРОНОВОСТИ: В администрации ""Батьки"" появился зараженный ""короной""",
