Имя пользователя,Ссылка,Время,Текст,Хэштеги
ACHTUNG PARTISANEN,@EuropeanFront,28 мая 2020 г.,В Перу зафиксировали рекордный суточный рост случаев COVID-19 https://achtungpartisanen.ru/v-peru-zafiksirovali-rekordnyy-sutochnyy-rost-sluchaev-covid-19/…,
Pekвием по РФ #FreeNavalny #НЕТВОЙНЕ,@RuFailedState,28 мая 2020 г.,"Владелец «Крокус Экспо» Араз Агаларов, находящийся в санкционном списке США, получил уже 2-й госконтракт на размещение больных на сумму 880 000 000 руб. (первый контракт был оценен в 1.1 миллиарда руб.) по временному госпиталя для инфицированных COVID-19",
НАТЕ,@1937987e,28 мая 2020 г.,"Как правильно подгонять статистику - да не хер делать ""если у человека оказался положительный тест на covid-19, но нет жалоб, то теперь такие граждане не подлежат учету в статистике заболеваемости. """,
Blog Turismo Sustentabilidade,@BlogTurS,28 мая 2020 г.,"предложения и скидки при бронировании гостиниц различных категорий, от пятизвездочных до недорогих https://tr.im/1wGLp #travel #trip #hotel #viagem #covid19 #turismo",#covid #covid19
Москва 24,@infomoscow24,28 мая 2020 г.,,
РЕН ТВ | Новости,@rentvchannel,28 мая 2020 г.,"Вирусолог Александр Лукашев заявил, что смертность от COVID-19 в Москве начнет снижаться через неделю. ",
RTVI US,@RTVi,28 мая 2020 г.,Еще 71 пациент с коронавирусом умер в Москве. С начала эпидемии общее число умерших от COVID-19 в столице достигло 2254 человек,
IBTimes.ru,@IbtimesRUS,28 мая 2020 г.,Лавров заявил о готовности России помочь зарубежным странам в борьбе с COVID-19,
Вести 365 Новости,@twit48aa,28 мая 2020 г.,Без жалоб в статистику не включать — рекомендации Минздрава по Covid-19,
Анжела Слободчикова,@Angela_slob,28 мая 2020 г.,Я оценилa городскую новинку «Более 540 доноров сдали плазму для лечения пациентов с COVID-19» в проекте «Активный гражданин»,
Элл,@bagd0s,28 мая 2020 г.,Я оценил городскую новинку «Более 540 доноров сдали плазму для лечения пациентов с COVID-19» в проекте «Активный гражданин»,
@kpru,@kpru,28 мая 2020 г.,"Кого будут считать пациентом с коронавирусом, рассказали в Минздраве",
Ирина Романова,@contact42530360,28 мая 2020 г.,"Медики госпиталя для больных COVID-19 в «Крокус Экспо» пожаловались на нехватку лекарств. На больницу выделили уже 1,9 миллиарда рублей https://meduza.io/feature/2020/05/23/mediki-gospitalya-dlya-bolnyh-covid-19-v-krokus-ekspo-pozhalovalis-na-nehvatku-lekarstv-na-bolnitsu-vydelili-uzhe-1-9-milliarda-rubley…",
IBTimes.ru,@IbtimesRUS,28 мая 2020 г.,Число заболевших COVID-19 на Сахалине перевалило за восьмой десяток,
sololaki,@sololaki1,28 мая 2020 г.,#Новости | Число заболевших COVID-19 на Сахалине перевалило за восьмой десяток https://sololaki.ru/novosti-rossii/novosti-chislo-zabolevshih-covid-19-na-sahaline-perevalilo-za-vosmoy-desyatok.html…,
IBTimes.ru,@IbtimesRUS,28 мая 2020 г.,Еще 71 человек с COVID-19 скончался в Москве,
RusDozorRu,@rusdozor_ru,28 мая 2020 г.,Главврач харьковской больницы о вспышке COVID-19 среди медперсонала: доколе будет этот бардак?,
Коммерсантъ,@kommersant,28 мая 2020 г.,"На фоне отмены Петербургского международного экономического форума (ПМЭФ) из-за пандемии COVID-19 принадлежащая организатору мероприятия фонду «Росконгресс» Business Priority решила инвестировать в киберспорт. Компания выкупила 33,3% Cyber Legacy, к…",
НВ,@tweetsNV,28 мая 2020 г.,"В Минздраве заявили, что 22 июня Украина может выйти на нулевой показатель новых случаев COVID-19",
IBTimes.ru,@IbtimesRUS,28 мая 2020 г.,Число умерших от COVID-19 в США превысило 100 тысяч человек,
Aniq.uz,@AniqUz,28 мая 2020 г.,Венада COVID-19 инфекциясига чалинган беморнинг ўпкасини алмаштириш операцияси ўтказилди https://aniq.uz/y/65923/f,
Церковное Обозрение,@church_review,28 мая 2020 г.,"Под предлогом COVID-19 попытались изменить нашу веру, – иерарх ЭПЦ",
Коммерсантъ,@kommersant,28 мая 2020 г.,"Из-за вызванного пандемией COVID-19 кризиса в новой реальности оказались не только потребители, вынужденные урезать свои расходы, но и ритейлеры. Многим из них пришлось на ходу менять логистические цепочки, чтобы моментально включиться в онлайн-прод…",
Московский Комсомолец,@mkomsomolets,28 мая 2020 г.,"В Дагестане скончались главврач больницы и фельдшер, лечившие больных c COVID-19",
Naspravdi,@_Naspravdi_,28 мая 2020 г.,Шведский эксперимент на грани провала: «стадный иммунитет» запаздывает ,
InterMedia,@intermedia_ru,28 мая 2020 г.,Рецензия: документальный фильм «Music vs COVID-19 World Tour — музыкальная индустрия в условиях панд...,
Росбалт,@rosbaltru,28 мая 2020 г.,,
Ведомости,@Vedomosti,28 мая 2020 г.,Число жертв COVID-19 в США составило к 28 мая 100 047 человек http://vdmsti.ru/bBHw,
ACHTUNG PARTISANEN,@EuropeanFront,28 мая 2020 г.,В Дагестане умерли лечившие больных COVID-19 главврач больницы и фельдшер https://achtungpartisanen.ru/v-dagestane-umerli-lechivshie-bolnyh-covid-19-glavvrach-bolnitsy-i-feldsher/…,
Газета.Ru,@GazetaRu,28 мая 2020 г.,,
ACHTUNG PARTISANEN,@EuropeanFront,28 мая 2020 г.,Лавров: Россия готова помогать зарубежным странам в борьбе с COVID-19 https://achtungpartisanen.ru/lavrov-rossiya-gotova-pomogat-zarubezhnym-stranam-v-borbe-s-covid-19/…,
Литовченко Анастасия,@nastyalito,28 мая 2020 г.,Я оценилa городскую новинку «Более 540 доноров сдали плазму для лечения пациентов с COVID-19» в проекте «Активный гражданин»,
Masha,@arctic_lanes,28 мая 2020 г.,"Наибольшая смертность от COVID-19 наблюдается среди мужчин. Возможно, это связано с тем, что высокий уровень тестостерона может подавлять иммунные реакции, что приводит к более тяжелому течению болезни. Кроме того, у женщин вырабатывается на 20-25% больше антител к SARS-CoV-2",
В Дегунино,@VDegunino,28 мая 2020 г.,"Государь милостив: к #ГОЛОСОВАНИЕ #ОБНУЛИСЬ! #Конституция #РФ подбросил деньжат, закрывшие #ИП безработные получат ЦЕЛЫХ 12130 руб с 1 мая, 45% из 1,9 млн безработных получат по 4,5 тыс руб",
РЕН ТВ | Новости,@rentvchannel,28 мая 2020 г.,За прошедшие сутки в Москве от коронавируса скончались 71 человек. Общее число умерших от COVID-19 составляет 2254:,
SKV,@skv39,28 мая 2020 г.,"Число инфицированных коронавирусом россиян, у которых заболевание протекает без клинических симптомов, увеличилось до 50% от общего числа случаев COVID-19.",
Pressapro.ru,@pressapro,28 мая 2020 г.,В Дагестане умерли лечившие больных COVID-19 главврач больницы и фельдшер https://pressapro.ru/proisshestviya/v-dagestane-ymerli-lechivshie-bolnyh-covid-19-glavvrach-bolnicy-i-feldsher/…,
Mariya Yelina,@Mariya_Yelina,28 мая 2020 г.,Я оценилa городскую новинку «Более 540 доноров сдали плазму для лечения пациентов с COVID-19» в проекте «Активный гражданин»,
Ридус,@RidusNews,28 мая 2020 г.,Еще 71 пациент с COVID-19 умер в Москве,
ZN.UA Зеркало недели,@zn_ua,28 мая 2020 г.,Последние исследования показали небезопасность применения этого препарата,
RTVI US,@RTVi,28 мая 2020 г.,"Число жертв коронавируса в США превысило 100 тысяч человек. В стране выявили больше 1,6 млн случаев COVID-19",
Gazeta-bam.ru,@gazetaBAM,28 мая 2020 г.,Амурская область на четвертом месте по коэффициенту летальностей от COVID-19 в ДФО http://gazeta-bam.ru/news/media/2020/5/28/amurskaya-oblast-na-chetvertom-meste-po-koeffitsientu-letalnostej-ot-covid-19-v-dfo/…,
ZN.UA Зеркало недели,@zn_ua,28 мая 2020 г.,Россия пытается добиться отмены санкций в ООН,
ГлавТвит,@GlavTW,28 мая 2020 г.,Российский врач заявил о гонке стран за вакциной от COVID-19,
KP.RU - Красноярск,@krskkpru,28 мая 2020 г.,"Количество зараженных коронавирусом в Красноярске и крае на 28 мая 2020 года: заразились 3700, вылечили 791",
KP.RU - Красноярск,@krskkpru,28 мая 2020 г.,"Коронавирус в Красноярске и крае, последние новости на сегодня, 28 мая 2020 года: в магазины только в масках, больше коек для пациентов с COVID-19",
Ioanna Abrosimova,@IoannaSeaStar,28 мая 2020 г.,#карантинныйсписок ,
presshub_ru,@presshubeu,28 мая 2020 г.,Санкт-Петербург  [iz] В  #Петербурге от  #Covid-19 вылечились 30% заболевших http://presshub.eu/ru/articledetails.aspx?aid=6807688&pg=1#presshubeu…,#covid #covid-19
ИА REGNUM,@IA_REGNUM,28 мая 2020 г.,В Москве за сутки скончался 71 пациент с заболеванием COVID-19 https://regnum.ru/news/2963995,
ИА REGNUM,@IA_REGNUM,28 мая 2020 г.,В США число умерших с COVID-19 превысило 100 тысяч https://regnum.ru/news/2963994,
Кавказский Узел,@caucasianknot,28 мая 2020 г.,За последние сутки на Южном Кавказе выявлено 544 случая инфицирования коронавирусом.,
Кавказский Узел,@caucasianknot,28 мая 2020 г.,"Власти Чечни анонсировали второй этап отмены карантинных ограничений, однако спикер парламента республики #МагомедДаудов объявил о продлении режима самоизоляции.",
Sergei S.,@vsyo,28 мая 2020 г.,В ответ ,
Ведомости,@Vedomosti,28 мая 2020 г.,Общее число умерших от COVID-19 в столице достигло 2254 человек http://vdmsti.ru/bBHk,
ACHTUNG PARTISANEN,@EuropeanFront,28 мая 2020 г.,"Лавров рассказал, как Запад пытается воспользоваться пандемией COVID-19 https://achtungpartisanen.ru/lavrov-rasskazal-kak-zapad-pytaetsya-vospolzovatsya-pandemiey-covid-19/…",
KP_Yaroslavl,@KP_Yaroslavl,28 мая 2020 г.,"Коронавирус в Ивановской области, последние новости на 28 мая: 48 человек в Плесском доме престарелых заразились COVID-19",
Bender!А,@MrChe76488221,28 мая 2020 г.,В ответ ,
Новости мира,@ubop_net_ua,28 мая 2020 г.,В Новой Зеландии выписали из больниц всех пациентов с COVID-19 - http://ubop.net.ua/v-novoi-zelandii-vypisali-iz-bolnic-vseh-pacientov-s-covid-19/…,
А_Блэк,@Alex_12Black,28 мая 2020 г.,Минздрав рекомендовал не включать в статистику больных COVID-19 без жалоб: https://rbc.ru/society/27/05/2020/5ece9ab49a7947e3ba3072fc… с помощью ,
Новости мира,@ubop_net_ua,28 мая 2020 г.,США из-за COVID-19 на месяц раньше выведут войска из Афганистана - http://ubop.net.ua/ssha-iz-za-covid-19-na-mesiac-ranshe-vyvedyt-voiska-iz-afganistana/…,
Vad,@Vad20053011,28 мая 2020 г.,30 фильмов от the Atlantic.  ,
Гоша Перочинный,@GoshaPerochinny,28 мая 2020 г.,Кредитованию #COVID2019/#коронавирус не страшен...,#covid #коронавирус
Савицкий Андрей Юрич,@uprav_dom,28 мая 2020 г.,Чё?,
V Z - Взгляд,@vzglyad,28 мая 2020 г.,Франция запретила лечить COVID-19 гидроксихлорохином https://vz.ru/news/2020/5/27/1041764.html…,
Петербургский Дневник,@dnevnikspb,28 мая 2020 г.,"Главврач поликлиники №38 заявил, что все сотрудники получили выплаты за работу с больными COVID-19.",
Batsuuri Dugarjav,@BatsuuriDugarj1,28 мая 2020 г.,"АНУ-д COVID-19 ын улмаас нас барсан хүний тоо 100,000 давж халдвар авсан хүний тоо 1,741,760.",
mBit,@milaBitcoin,28 мая 2020 г.,Эксперт: желание быстро создать вакцину от COVID-19 не должно влиять на ее безопасность https://lifestylenotes.ru/raznoe/ekspert-jelanie-bystro-sozdat-vakciny-ot-covid-19-ne-doljno-vliiat-na-ee-bezopasnost/…,
сергей,@rebus454,28 мая 2020 г.,В ответ ,
Константин,@kostia7777777,28 мая 2020 г.,Twitter,
Russia at the United Nations,@RussiaUN,28 мая 2020 г.,,
"Реклама бесплатно и заработок в интернете, Money",@zarobokmoney,28 мая 2020 г.,COVID-19: в ожидании «второй волны» http://money7777.info/?p=16100,
ACHTUNG PARTISANEN,@EuropeanFront,28 мая 2020 г.,Эксперт: желание быстро создать вакцину от COVID-19 не должно влиять на ее безопасность https://achtungpartisanen.ru/ekspert-zhelanie-bystro-sozdat-vaktsinu-ot-covid-19-ne-dolzhno-vliyat-na-ee-bezopasnost/…,
KP.RU - Волгоград,@kp_vlg,28 мая 2020 г.,"Коронавирус в Волгограде, последние новости на 28 мая: в Урюпинске вспышка COVID-19 в психинтернате",
Texnoplus.ru,@texnoplusnews,28 мая 2020 г.,10 советов для удаленной работы даже после пандемии,
Business Mir,@Business_Mir,28 мая 2020 г.,Отмена карантинных мер в #Швейцария произойдет раньше запланированного,
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,Роспотребнадзор обновил правила лабораторного тестирования на COVID-19 http://zdravmedinfo.com/mednews.html?article=146805…,
Смотри HD online,@Kino_HD_Online,28 мая 2020 г.,Маски обязательны при любом выходе из дома: Москва меняет режим самоизоляции ,
Jenkers News (RUS),@jenkers_ru,28 мая 2020 г.,Рано говорить о стадном иммунитете — о тестировании на антитела к #COVID-19 http://jenke.rs/Xv61Vk,#covid #covid-19
pagesmoldova,@pagesmoldova,28 мая 2020 г.,В Тирасполе начали проверять на COVID-19 чиновников https://pages.md/v-tiraspole-nachali-proveriat-na-covid-19-chinovnikov/…,
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,"Выпущены тесты, определяющие степень иммунитета к COVID-19 http://zdravmedinfo.com/mednews.html?article=146785…",
Портал К,@portalkru,28 мая 2020 г.,Франция запретила лечить COVID-19 гидроксихлорохином ||,
kremenchug.ua,@kremen_ua,28 мая 2020 г.,11 жителей Полтавской области болеют COVID-19…  https://kremenchug.ua/news/health/51276-11-zhitelej-poltavskoj-oblasti-bolejut-covid-19.html…,
presshub_ru,@presshubeu,28 мая 2020 г.,[mk] В  #Орловской области от  #Covid-19 вылечились еще 46 человек http://presshub.eu/ru/articledetails.aspx?aid=6809546&pg=1…,#covid #covid-19
Новости Магаса,@MagasNovosti,28 мая 2020 г.,Более 66% заболевших Covid-19 в Ингушетии люди среднего и пожилого возраста https://ift.tt/3gttv9V,
ИА Регион-центр,@region_center,28 мая 2020 г.,Роспотребнадзор утвердил правила профилактики COVID-19,
Радыё Свабода,@svaboda,28 мая 2020 г.,"«У людзей, якія аказвалі рэгулярную дапамогу, не хапае сродкаў», — стваральніца плятформы «Имена» пра дабрачыннасьць у часы COVID-19 ",
Аргументы и Факты в Пензе,@AiF_Penza,28 мая 2020 г.,"Какая реабилитация предусмотрена для пациентов, перенесших COVID-19?",
Сергей Девяткин,@Devyatkin9,28 мая 2020 г.,Дал комментарий для silverrainradio ⠀,
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,Пациенты с COVID-19 опасны для окружающих только первые 11 дней http://zdravmedinfo.com/mednews.html?article=146748…,
noname,@change_magazin,28 мая 2020 г.,"Одно не могу понять как одни страны уже почти вымерли, а в других вообще нет заболевших",
RusVeles,@RusVeles1,28 мая 2020 г.,COVID-19: От Поветрия до Пурги Часть I. Юрий Воробьевский. (ВИДЕО) » Москва - Третий Рим,
@kpru,@kpru,28 мая 2020 г.,"Ветеринар объяснил, нужно ли лечить кошек, заразившихся коронавирусом",
Жадина бельгійська проти війни,@monnomprefere,28 мая 2020 г.,В ответ ,
Тоня,@TarasovaTon,28 мая 2020 г.,Twitter,
Джо,@Pravdolubitel,28 мая 2020 г.,"«Прекратите АНТИСОЦИАЛЬНЫЙ ""Социальный мониторинг"" по COVID-19 в Москве» - Подпишите петицию! http://chng.it/gWv7ZNhy через ",
Golosinfo: новости,@golosinfocom,28 мая 2020 г.,COVID-19 диагностировали у 10 воспитателей детсадов в Житомире #covid_19 #диагностика #воспитатели,#covid
Vladimir Pavelko,@b_obraz_yur,28 мая 2020 г.,В ответ ,
presshub_ru,@presshubeu,28 мая 2020 г.,Санкт-Петербург  [interfax] Главврач больницы №122 в  #Петербурге рассказал о рвении сотрудников в борьбе с  #Covid-19 http://presshub.eu/ru/articledetails.aspx?aid=6808387&pg=1#presshubeu…,#covid #covid-19
Весь Монреаль,@allmontreal,28 мая 2020 г.,Туристическая сфера Квебека может потерять почти 4 млрд.$ из-за COVID-19 http://dlvr.it/RXTLJb,
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,Имеющих антитела на коронавирус медиков не будут тестировать на COVID-19 http://zdravmedinfo.com/mednews.html?article=146735…,
Огни Кавказа,@ognikavkaza,28 мая 2020 г.,Белореченский район продолжает оставаться на восьмом месте в краевом анти-ТОП-10 по общему числу заболевших COVID-19,
Вестник Кавказа,@vestikavkaza,28 мая 2020 г.,В Минздраве РФ рассказали о принципах подсчета статистики по COVID-19,
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,В Роспотребнадзоре назвали ситуацию с COVID-19 в Москве контролируемой http://zdravmedinfo.com/mednews.html?article=146717…,
Хронографъ,@topstory_su,28 мая 2020 г.,ВОЗ предупредила о второй волне COVID-19,
Архив ☭КГБ СССР,@DokUSSR,28 мая 2020 г.,ВОЗ предупредила о второй волне COVID-19,
ℌαςτ℮ньҡα,@HACTEHACCCP,28 мая 2020 г.,ВОЗ предупредила о второй волне COVID-19,
А_Блэк,@Alex_12Black,28 мая 2020 г.,Песков не установил приложение для контроля за заболевшими COVID-19: https://rbc.ru/rbcfreenews/5eccf9f69a794721fb5a0151… с помощью ,
topnewsrussia.ru,@TopNewsRussiaa,28 мая 2020 г.,ВОЗ предупредила о второй волне COVID-19,
Алексей,@AlexChoKavo,28 мая 2020 г.,В ответ ,
А_Блэк,@Alex_12Black,28 мая 2020 г.,"«Там настоящая эпидемия, которая связана с COVID-19»: уфимцы обеспокоены ситуацией на УМПО https://ufa1.ru/text/health/69282412/…",
taktik praktik,@praktiktaktik,28 мая 2020 г.,В ответ ,
V.Schneider,@VSchneider1,28 мая 2020 г.,Минздрав рекомендовал не включать в статистику заболевших COVID-19 при отсутствии жалоб,
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,В Совфеде предложили назначать выплаты семьям умерших от COVID-19 медиков http://zdravmedinfo.com/mednews.html?article=146706…,
Оружие России,@armsrussia,28 мая 2020 г.,«Росэлектроника» наращивает экспорт электронных компонентов на фоне пандемии COVID-19 - ОРУЖИЕ РОССИИ Информационное агентство https://arms-expo.ru/news/vzaimodeystvie/roselektronika-narashchivaet-eksport-elektronnykh-komponentov-na-fone-pandemii-covid-19/…,
ИА REGNUM,@IA_REGNUM,28 мая 2020 г.,Рано говорить о стадном иммунитете — о тестировании на антитела к COVID-19 https://regnum.ru/news/2963956,
А_Блэк,@Alex_12Black,28 мая 2020 г.,В ФМБА сообщили о вспышке COVID-19 в Центре подготовки космонавтов: https://rbc.ru/society/24/05/2020/5ec9dacc9a794777a42eabc8… с помощью ,
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,В России выпущен уникальный сборник по профилактике и лечению COVID-19 http://zdravmedinfo.com/mednews.html?article=146666…,
Юрий Вережан,@RUOBRU,28 мая 2020 г.,Аллергики и астматики менее подвержены коронавирусу  ,
Masterall,@YourMirrors,28 мая 2020 г.,Аллергики и астматики менее подвержены коронавирусу  ,
Машуня,@pushinka_mk6,28 мая 2020 г.,Twitter,
Oleg Semenov,@Mosfilmovskiy,28 мая 2020 г.,Когда Вы в последний раз стояли в очереди?#COVID19,#covid #covid19
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,Повышенный риск развития слабоумия и тяжелая инфекция COVID-19 связаны http://zdravmedinfo.com/mednews.html?article=146667…,
Оружие России,@armsrussia,28 мая 2020 г.,Эксперты обсудили влияние пандемии COVID-19 на радиоэлектронную отрасль - ОРУЖИЕ РОССИИ Информационное агентство,
Selvestor Vivat,@S_vivat,28 мая 2020 г.,"Учения #DefenderEurope 2020 будут проводиться в Польше военными и техникой США, перемещенными в Польшу до #COVID19. ",#covid #covid19
Бора,@Boramediaru,28 мая 2020 г.,Коронавирус: последние новости о Covid-19 в мире и в России на 27 мая - Бора-медиа https://bora-media.ru/review/koronavirus-poslednie-novosti-o-covid-19-v-mire-i-v-rossii-na-27-maja/… #covid19 #коронавирус,#covid #covid19 #коронавирус
Даша хочет сдохнуть,@dariachillout,28 мая 2020 г.,Минздрав решил не включать в статистику случаев covid-19 больных covid-19,
RusDozorRu,@rusdozor_ru,28 мая 2020 г.,"Что такое адренохром, пицагейт и COVID — 19?",
Российское информационное агентство LIVE24,@rialive24,28 мая 2020 г.,ВОЗ не рекомендует гидроксихлорохин для борьбы с COVID-19,
ВЕСТИ,@vesti_news,28 мая 2020 г.,,
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,Минздрав рассказал о российских разработках тест-систем для диагностики COVID-19 http://zdravmedinfo.com/pharmnews.html?article=146797…,
Миша Пуффер,@misha_puffer,28 мая 2020 г.,До моего 20-того #деньрождения осталось 40 минут. А я не могу найти звук который мне нужен для видосика в #тикток и #инстаграм,
www.Karelia.news,@NewKareliaNews,28 мая 2020 г.,Автобусы Петрозаводска возобновляют работу с 28 мая,
РИА Новости,@rianru,28 мая 2020 г.,,
Nord-News,@nordnewsru,28 мая 2020 г.,В Терском районе выявлен один случай CoViD-19  http://tinyurl.com/y6w82tc7,
RusNext РусскаяВесна,@rusnextru,28 мая 2020 г.,Власти султаната Омана распорядились отменить введенный в марте в связи с коронавирусом запрет на въезд и выезд в столичную провинцию Маскат. #Пандемия #РусскаяВесна #RusNext,#пандемия
ARDinform: новости,@ardinform,28 мая 2020 г.,В ООН подсчитали безработицу среди молодых людей из-за пандемии #оон #безработица #пандемия https://ardinform.com/news/v_oon_podschitali_bezraboticu_sredi_molodykh_ljudej_iz_za_pandemii/2020-05-27-730…,#пандемия
Калинина Мария,@Kalinina_mariya,28 мая 2020 г.,Twitter,
TJ,@tjournal,28 мая 2020 г.,Главное о Covid-19 за 27 мая — в одном материале,
Архнет.Инфо,@ArhnetInfo,28 мая 2020 г.,#АрхнетИнфо,
Лента новостей Крыма,@crimeanewscom,28 мая 2020 г.,С 1 июня при въезде в Севастополь необходимо будет сдать тест на COVID-19,
Олег!,@obalakin,28 мая 2020 г.,В США почти треть населения верит в чипирование с помощью вакцины от Covid-19,
undos,@undos_l,28 мая 2020 г.,Белоруска с COVID-19 родила дочку и 11 дней была на ИВЛ: «В коме видела мужа»,
Новости Витебска,@vitebsk_news,28 мая 2020 г.,Обновленная карта эпидемиологической обстановки COVID-19 в Витебской области #vitebsk,
Николай Бобровский,@NNBobrovskiy,28 мая 2020 г.,«Домашний офис» во времена COVID-19: правила безопасности,
♞Сурoвый Toмск,@Tomsk_Loud_News,28 мая 2020 г.,Потому что россиянам же скоро голосовать за Дедушкино Обнуление.  Вы уж не портите фоновую картинку ему.,
КП Ямал,@KpYamal,28 мая 2020 г.,"Коронавирус в ЯНАО, последние новости на 28 мая 2020: у курильщиков COVID-19 протекает тяжелее",
Выбор Народа,@Vybor_naroda,28 мая 2020 г.,Кадыров: Чечня вышла на пик по заболеваемости COVID-19,
B,@B95433648,28 мая 2020 г.,Я оценил городскую новинку «Более 540 доноров сдали плазму для лечения пациентов с COVID-19» в проекте «Активный гражданин»,
Знамя Шахтера,@znamenkanovosh,28 мая 2020 г.,Число инфицированных COVID-19 в Ростовской области за сутки увеличилось на 203 https://znamenka.info/news/news-actual/chislo-infitsirovannykh-covid-19-v-rostovskoy-oblasti-za-sutki-uvelichilos-na-203…,
ТАСС,@tass_agency,28 мая 2020 г.,,
Dmitriy,@jinchick,28 мая 2020 г.,"В общем глав врач гор Больницы 5 Тольятти все ""внятно"" рассказал, конечно в коментариях было видно что я не один , ничего не понял. Сам говорит и сам отрицает. И что оф статистика не корректна, заболевших  covid 19 Тольятти больше, но..меньше",
Мир 24,@Mir24TV,28 мая 2020 г.,С 1 июня в Москве начнется второй этап смягчения ограничений по COVID-19. Что изменится? #новость #Москва #коронавирус #ограничения #ослабление https://mir24.tv/news/16411599/s-1-iyunya-v-moskve-nachnetsya-vtoroi-etap-smyagcheniya-rezhima-chto-izmenitsya?hot=1…,#коронавирус
Ann Rainbow,@AnnaRainbow15,28 мая 2020 г.,Twitter,
Alexey,@Alekzzzzz,28 мая 2020 г.,"В Мексике какой-то день мертвых, больше 500 умерших от COVID-19 уже сейчас. ",
Мир 24,@Mir24TV,28 мая 2020 г.,Около 40 специалистов из Москвы отправятся в регионы для борьбы с коронавирусом #новость #врачиМосквы #регионы #коронавирус,#коронавирус
ZdravMedInfo,@ZdravMedInfo,28 мая 2020 г.,Леронлимаб показывает высокую эффективность при лечении COVID-19 http://zdravmedinfo.com/pharmnews.html?article=146622…,
☭ Пионер из СССР (1917),@SergeyProdobrey,28 мая 2020 г.,@KremlinRussia,
Gays UA,@gays_ua,28 мая 2020 г.,"Медбрат-гей показал, что коронавирус сделал с ним за 57 дней #COVID-19 #США https://gays-ua.com/world/medbrat-gej-pokazal-chto-koronavirus-sdelal-s-nim-za-57-dnej…",#covid #covid-19
RT на русском,@RT_russian,28 мая 2020 г.,,
Россия без цензуры,@NocensorR,28 мая 2020 г.,ДАЙДЖЕСТ ДНЕВНЫХ НОВОСТЕЙ: 27 МАЯ,
Мир 24,@Mir24TV,28 мая 2020 г.,"В Москве до 14 июня продлеваются режим самоизоляции, действие системы цифровых пропусков и другие ограничительные меры. Соответствующий указ подписал мэр столицы Сергей Собянин #новость #Москва #коронавирус #ограничения #Собянин",#коронавирус
rgrus,@rgrus,28 мая 2020 г.,Глава Крыма выступил против тестирования всех туристов на COVID-19 https://rg.ru/2020/05/27/reg-ufo/glava-kryma-vystupil-protiv-testirovaniia-vseh-turistov-na-covid-19.html…,
Ирина,@Yarinka_Twittet,28 мая 2020 г.,Всем спокойной ночи. ,
Elman,@6121El,28 мая 2020 г.,Власти Новой Зеландии объявили что пандемия COVID-19 в стране закончилась. Первый больной в стране был,
Сергей Гарачев,@H4mDOfzjfg1P1fJ,28 мая 2020 г.,Я оценил городскую новинку «Более 540 доноров сдали плазму для лечения пациентов с COVID-19» в проекте «Активный гражданин»,
Сергей Ли,@sergeyli1970,28 мая 2020 г.,#луннаяфолловитхеммвуд,
ppfood,@ppfoodru,28 мая 2020 г.,Глава Крыма выступил против тестирования всех туристов на COVID-19 - http://ppfood.ru/glava-kryma-vystypil-protiv-testirovaniia-vseh-tyristov-na-covid-19/…,
Мир 24,@Mir24TV,28 мая 2020 г.,Роспотребнадзор утвердил санитарно-эпидемиологические правила профилактики COVID-19 в России до 1 января 2021 года #новость #Роспотребнадзор #коронавирус #правила https://mir24.tv/news/16411583/v-rossii-utverdili-pravila-profilaktiki-covid-19-do-2021-goda?hot=1…,#коронавирус
V Z - Взгляд,@vzglyad,28 мая 2020 г.,Врач объяснил новую процедуру подсчета смертей от COVID-19,
Kredka Olafa,@KredkaO,28 мая 2020 г.,"Вышла на вечернюю пробежку с сестрой. Увидели полицейских. Дали деру. Говорила мама, что когда-нибудь буду от полиции убегать. Не знала, что это будет вот так.",
Юля Кузьмичева,@julandru15,28 мая 2020 г.,Я оценилa городскую новинку «Более 540 доноров сдали плазму для лечения пациентов с COVID-19» в проекте «Активный гражданин»,
Jenkers News (RUS),@jenkers_ru,28 мая 2020 г.,АПЛ сообщила о четырёх новых случаях заражения #коронавирус'ом http://jenke.rs/x8JEv6,#коронавирус
smilefun,@SmileFunRu,28 мая 2020 г.,Глава Крыма выступил против тестирования всех туристов на COVID-19 Глава Крыма Сергей Аксенов выс https://smilefun.ru/2020/05/27/glava-kryma-vystypil-protiv-testirovaniia-vseh-tyristov-na-covid-19/…,
зеркало для героя,@spbmaninmoscow,28 мая 2020 г.,"Лично у меня пазл сложился в тот момент, когда президент объявил проведение парада победы 24 июня. ",
FUELS DIGEST,@DigestFuels,28 мая 2020 г.,@IEA,
domodedovod,@domodedovod,28 мая 2020 г.,оздана специальная комиссия по вопросам выплат врачам Домодедово,
@kpru,@kpru,28 мая 2020 г.,"В Греции нашли способ защитить население от коронавируса, пока вакцина еще не доступна",
